,Trial Name,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Shaft Speed Standard Deviation * M^2 / nu,Turbulence Intensity,Turbulence Intensity Uncertainty,L_ux / M,L_ux Uncertainty,Anisotropy,Re_lambda,Epsilon
57,fs_5.25_Ro_30_Std_0.14,21578.512593912274,30.0,0.0015903665971916765,34.317745646438,0.12757510822651713,0.009120918483672332,2.066687992572011,0.3605599896008305,1.0853133166536881,402.73342456176493,1.340057652458154
58,fs_5.25_Ro_30_Std_0.93,21516.847220948137,30.0,0.010594855252411365,227.96788179419525,0.12211630216020336,0.008229538018515028,1.9165375811290943,0.3054716135983718,1.1057344735289367,382.67677191939805,1.2318390010222264
59,fs_5.25_Ro_30_Std_1.73,20768.208490916386,30.0,0.020419155830104764,424.0692854881266,0.12118186976208503,0.00755099923350442,2.3733812651068082,0.32882804001632426,1.1817475706472427,358.93580126113477,1.178479981210728
60,fs_5.25_Ro_30_Std_2.53,20678.042297951848,30.0,0.029991750681518128,620.170689182058,0.12123133303264907,0.007442126726938919,2.7824216864484472,0.8896547090092081,1.1986147885773264,361.606854630031,1.1429649712968446
61,fs_5.25_Ro_40_Std_0.14,21294.464289150514,40.0,0.0016115806051961975,34.317745646438,0.13187943808468144,0.00947838961278901,2.2587038541932563,0.33003580769305846,1.1102854463453828,418.39529097032755,1.3446544126605608
62,fs_5.25_Ro_40_Std_0.93,20924.383406331308,40.0,0.010894843464071524,227.9678817941953,0.12797304224850484,0.008517661838867423,2.2236907868534015,0.2947095156092458,1.1623640326622198,394.58301055292696,1.2497320849211107
63,fs_5.25_Ro_40_Std_1.73,21068.69749503104,40.0,0.020127930812435912,424.0692854881266,0.12473903876250851,0.007601915539590001,3.100835254040658,0.3736924003292876,1.234729154376261,384.7753662242748,1.2194242622829448
64,fs_5.25_Ro_40_Std_2.53,20642.39284705614,40.0,0.03004354649080821,620.170689182058,0.12606209011670202,0.007543808326874588,3.6843448537353383,0.8232776501694578,1.2662838377259944,383.26930780597405,1.181351438217672
65,fs_5.25_Ro_70_Std_0.14,21087.37866080831,70.0,0.0016274069052602932,34.317745646438,0.1305529437376262,0.0081818717306957,2.974406920524836,0.31883172858685604,1.248436555627761,414.19992332653965,1.2671442673605906
66,fs_5.25_Ro_70_Std_0.93,21013.558433938604,70.0,0.010848609125906471,227.96788179419525,0.1317164777888189,0.007785543875409519,4.894530328597282,2.191033301076982,1.3263508232770216,424.2850919019219,1.2338214846296163
67,fs_5.25_Ro_70_Std_1.73,21075.341570104207,70.0,0.020121585411914625,424.0692854881267,0.1264674049086923,0.007739743468784209,3.172114611647742,0.7624283110924501,1.2436410586811337,389.54966470841987,1.2586247739418182
